8413|1956
1457|1957
1066|1958
8596|1959
2742|1960
9641|1961
8823|1962
2013|1963
5829|1964
1047|1965
7391|1966
4608|1967
9152|1968
2784|1969
8069|1970
8143|1971
8205|1972
1946|1973
5073|1974
8861|1975
2319|1975
7042|1976
9685|1976
4127|1977
5904|1977
1538|1978
8476|1978
3260|1979
1294|1979
6046|1980
9821|1980
2475|1981
8319|1981
5602|1982
1749|1982
6907|1983
4581|1983
9124|1984
3057|1984
8714|1985
6290|1985
1462|1986
9548|1986
2836|1987
7105|1987
4983|1988
8640|1988
3218|1989
9057|1989
6724|1990
1409|1990
5896|1991
2471|1991
8365|1992
4102|1992
9581|1993
2738|1993
3641|1994
8906|1994
5822|1995
6087|1995
4719|1996
9352|1996
2864|1997
7490|1997
5148|1998
8273|1998
1905|1999
6043|1999
9736|2000
2385|2000
8150|2001
4927|2001
7608|2002
3518|2002
9482|2003
6706|2003
1248|2004
5892|2004
4306|2005
9721|2005
2614|2006
8478|2006
5066|2007
1937|2007
7240|2008
9586|2008
3125|2009
6803|2009
4159|2010
8927|2010
5701|2011
9360|2011
7349|2012
7084|2012
1649|2013
8235|2013
4512|2014
9705|2014
2861|2015
5397|2015
9506|2016
4085|2016
8520|2017
4172|2017
6278|2018
9051|2018
3609|2019
8149|2019
4920|2020
6583|2021
2749|2022
9318|2023
5061|2024
1895|2025
7426|2026
